id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2008,Chennai,2008-05-11,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,runs,0,Chennai Super Kings,14,0,MM Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
2,2008,Mumbai,2008-05-20,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,runs,0,Chennai Super Kings,76,0,SR Watson,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
3,2008,Ahmedabad,2008-04-24,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Royal Challengers Bangalore,46,0,RA Tripathi,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
4,2008,Delhi,2008-04-13,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,wickets,0,Rajasthan Royals,0,1,MS Dhoni,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
5,2008,Ahmedabad,2008-04-27,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,bat,runs,0,Kings XI Punjab,35,0,LH Ferguson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
6,2008,Mumbai,2008-05-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Kolkata Knight Riders,0,1,PA Patel,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
7,2008,Pune,2008-05-28,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,runs,0,Chennai Super Kings,18,0,Rashid Khan,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
8,2008,Kolkata,2008-04-23,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,runs,0,Kolkata Knight Riders,7,0,LH Ferguson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
9,2008,Delhi,2008-05-13,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Rajasthan Royals,0,2,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
10,2008,Indore,2008-04-14,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,2,R Ashwin,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
11,2008,Bangalore,2008-04-28,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,field,runs,0,Deccan Chargers,47,0,CH Gayle,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
12,2008,Kolkata,2008-05-16,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,runs,0,Chennai Super Kings,61,0,RA Tripathi,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
13,2008,Chennai,2008-04-12,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,runs,0,Kings XI Punjab,67,0,SV Samson,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
14,2008,Chennai,2008-05-12,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,1,DA Warner,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
15,2008,Jaipur,2008-04-13,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,bat,wickets,0,Deccan Chargers,0,8,SL Malinga,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
16,2008,Mumbai,2008-05-13,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,1,RV Uthappa,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
17,2008,Chennai,2008-04-11,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,runs,0,Deccan Chargers,60,0,DW Steyn,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
18,2008,Mumbai,2008-05-10,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,wickets,1,Delhi Daredevils,0,4,SR Watson,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
19,2008,Kolkata,2008-05-16,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,wickets,1,Rajasthan Royals,0,9,BB McCullum,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
20,2008,Kolkata,2008-04-15,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,bat,wickets,0,Mumbai Indians,0,9,CH Gayle,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
21,2008,Ahmedabad,2008-04-23,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,4,DA Warner,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
22,2008,Jaipur,2008-04-10,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,runs,0,Kings XI Punjab,17,0,PA Patel,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
23,2008,Mohali,2008-04-24,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,2,HH Pandya,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
24,2008,Chennai,2008-04-18,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,wickets,0,Deccan Chargers,0,3,AB de Villiers,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
25,2008,Chennai,2008-05-18,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,wickets,0,Kings XI Punjab,0,5,LH Ferguson,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
26,2008,Visakhapatnam,2008-04-12,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,wickets,0,Kings XI Punjab,0,9,V Kohli,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
27,2008,Mohali,2008-05-16,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,field,runs,0,Kolkata Knight Riders,6,0,DA Warner,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
28,2008,Mumbai,2008-05-23,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Chennai Super Kings,0,3,G Gambhir,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
29,2008,Bangalore,2008-05-19,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,wickets,0,Kolkata Knight Riders,0,8,A Kumble,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
30,2008,Mohali,2008-05-27,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,runs,0,Chennai Super Kings,9,0,SP Narine,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
31,2008,Mohali,2008-05-29,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,bat,runs,1,Delhi Daredevils,77,0,PA Patel,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
32,2008,Visakhapatnam,2008-04-21,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,1,A Mishra,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
33,2008,Hyderabad,2008-05-27,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,wickets,0,Deccan Chargers,0,7,P Kumar,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
34,2008,Delhi,2008-05-28,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,runs,0,Kings XI Punjab,1,0,F du Plessis,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
35,2008,Delhi,2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Kings XI Punjab,0,3,R Ashwin,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
36,2008,Jaipur,2008-04-24,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,runs,0,Royal Challengers Bangalore,6,0,MJ McClenaghan,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
37,2008,Hyderabad,2008-04-26,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,runs,0,Kings XI Punjab,1,0,JP Duminy,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
38,2008,Ahmedabad,2008-05-29,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,0,9,PA Patel,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
39,2008,Visakhapatnam,2008-04-18,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,wickets,0,Delhi Daredevils,0,4,Harbhajan Singh,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
40,2008,Kolkata,2008-05-14,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,2,JP Duminy,"Eden Gardens, Kolkata",Umpire A,Umpire B
41,2008,Hyderabad,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Royal Challengers Bangalore,27,0,MM Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
42,2008,Bangalore,2008-04-18,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,9,Harbhajan Singh,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
43,2008,Visakhapatnam,2008-05-28,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Mumbai Indians,0,3,RG Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
